"agricultural_veterinary_sciences","arts_design","business_management_law","education_training","engineering_technology","health_medicine","humanities_languages","ict","natural_sciences","social_behavioral_sciences","services","transport_safety_security_military"
"NA","Product Design","Political Science and Diplomacy","NA","Information Science","Paramedical Technology","Political Science","NA","Zoology","NA","NA","NA"
"NA","Psychology","Political Science and Economics","NA","Information Science and Engineering","Paramedicine","Political Science and Diplomacy","NA","NA","NA","NA","NA"
"NA","Recording Art Technology","Political Science and International Relations","NA","Information Science and Technology","Perfusion Technology","Political Science and International Relations","NA","NA","NA","NA","NA"
"NA","Regional Design","Politics","NA","Information Systems Engineering","Pharmaceutical Chemistry","Politics","NA","NA","NA","NA","NA"
"NA","Religious Studies","Project Management","NA","Information Technology","Pharmaceutical Science","Politics and International Relations","NA","NA","NA","NA","NA"
"NA","Screen Media","Property","NA","Instructional Design","Pharmaceutical Technology","Portuguese","NA","NA","NA","NA","NA"
"NA","Screen Production","Property Development and Construction Management","NA","Intelligence and Informatics Engineering","Pharmaceutics","Portuguese and Brazilian Studies","NA","NA","NA","NA","NA"
"NA","Sculpture","Public Administration","NA","Intelligent Information System Engineering","Pharmacology","Portuguese Language and Literature","NA","NA","NA","NA","NA"
"NA","Social and Cultural Studies","Public Policy","NA","Intelligent Mechanical Systems Engineering","Pharmacology and Toxicology","Psychology","NA","NA","NA","NA","NA"
"NA","Sociology","Real Estate","NA","Intelligent System Engineering","Pharmacy","Punjabi","NA","NA","NA","NA","NA"
"NA","Sonic Art","Real Estate and Construction","NA","Intelligent Systems Engineering","Pharmacy and Medicinal Food","Religion","NA","NA","NA","NA","NA"
"NA","Sound Design","Real Estate and Construction Management","NA","International Development Engineering","Physical Therapy","Religion/Religious Studies","NA","NA","NA","NA","NA"
"NA","Spatial Design","Real Estate Development","NA","Laser and Optical Information Technology","Physical Therapy and Rehabilitation","Religious Education","NA","NA","NA","NA","NA"
"NA","Stage Design","Real Estate Management","NA","Learning Science","Physician Assistant","Religious Studies","NA","NA","NA","NA","NA"
"NA","Studio Art","Regulatory Affairs","NA","Life Science and Technology","Physician Assistant Studies","Rhetoric","NA","NA","NA","NA","NA"
"NA","Technical Theatre","Restaurant and Catering Management","NA","Manufacturing Engineering","Physics","Rhetoric and American Cultures","NA","NA","NA","NA","NA"
"NA","Technical Theatre/Theatre Design and Technology","Retail Management","NA","Marine Engineering","Physiology","Romance Languages","NA","NA","NA","NA","NA"
